id,name,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,is_entire_apt,client_district,accommodates,bedrooms,beds,price_clean,minimum_nights,availability_365,number_of_reviews,review_scores_rating,host_is_superhost,estimated_occupancy_l365d,estimated_revenue_l365d
18674,Huge flat for 8 people close to Sagrada Familia,la Sagrada Família,Eixample,41.40556,2.17262,Entire rental unit,Entire home/apt,True,True,8,3.0,5.0,409.0,1.0,123,59,4.41,False,54,22086.0
23197,CCIB Forum· Large Balcony · 5 min walk to CCIB,el Besòs i el Maresme,Sant Martí,41.41243172529066,2.219750335269476,Entire rental unit,Entire home/apt,True,False,5,3.0,4.0,388.0,2.0,239,99,4.84,True,66,25608.0
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,el Barri Gòtic,Ciutat Vella,41.37978,2.17623,Entire rental unit,Entire home/apt,True,True,9,4.0,6.0,397.13,1.0,329,304,4.59,True,222,88163.0
36763,In front of the beach,la Barceloneta,Ciutat Vella,41.38037,2.19272,Private room in rental unit,Private room,False,True,1,,,43.24,31.0,38,108,4.79,False,0,0.0
40983,Architect's Loft near Gaudí & Passeig de Gràcia,la Dreta de l'Eixample,Eixample,41.39631,2.16832,Entire condo,Entire home/apt,True,True,4,1.0,2.0,226.13,1.0,289,450,4.56,True,255,57663.0
71520,Charming apartment with fantastic views!,Vallcarca i els Penitents,Gràcia,41.41841,2.13307,Entire rental unit,Entire home/apt,True,True,9,3.0,5.0,417.8,5.0,363,1,5.0,False,0,0.0
71553,Best deals for penthouse near Sagrada Familia!,la Dreta de l'Eixample,Eixample,41.39705,2.17469,Entire rental unit,Entire home/apt,True,True,2,1.0,1.0,275.5,2.0,167,86,4.25,False,12,3306.0
71736,Modernist apartment in the center minim 32 nights,el Raval,Ciutat Vella,41.38174,2.16663,Entire rental unit,Entire home/apt,True,True,5,4.0,4.0,107.61,31.0,361,10,3.88,False,0,0.0
72436,Lugaris Beach Business Apartment,el Poblenou,Sant Martí,41.39909,2.20733,Entire serviced apartment,Entire home/apt,True,False,3,1.0,2.0,209.0,1.0,245,1194,4.75,True,255,53295.0
75411,Sagrada Familia Clot Patio - Wifi/Private/Clean,el Clot,Sant Martí,41.40682,2.18649,Entire rental unit,Entire home/apt,True,False,3,3.0,3.0,179.67,3.0,105,151,4.55,True,168,30185.0
80004,Parc Montjuic HUTB-004026 58,el Poble Sec,Sants-Montjuïc,41.37371,2.16706,Entire rental unit,Entire home/apt,True,False,5,3.0,3.0,156.11,7.0,33,220,4.7,True,252,39340.0
89776,Modernist aparment in the heart of the city,la Dreta de l'Eixample,Eixample,41.39224,2.17806,Entire rental unit,Entire home/apt,True,True,3,1.0,2.0,217.0,2.0,279,467,4.79,True,255,55335.0
110041,002. Alió 2 Apartment,el Camp d'en Grassot i Gràcia Nova,Gràcia,41.40271,2.16646,Entire rental unit,Entire home/apt,True,True,4,1.0,2.0,207.0,1.0,351,106,4.26,False,84,17388.0
112538,Design Apartment Sagrada Familia / Shared Terrace,la Sagrada Família,Eixample,41.40653,2.1746,Entire rental unit,Entire home/apt,True,True,8,3.0,6.0,414.0,1.0,174,161,4.5,True,132,54648.0
135513,Apartamento en la Playa de Poble Nou,el Poblenou,Sant Martí,41.39787,2.20429,Entire rental unit,Entire home/apt,True,False,6,3.0,3.0,310.51,1.0,234,225,4.74,True,222,68933.0
136670,"double Room A -UPC, ESADE, Barça, Real Club Tennis",Pedralbes,Les Corts,41.38832,2.12201,Private room in rental unit,Private room,False,False,1,,1.0,51.12,32.0,363,150,4.64,True,255,13036.0
144471,★BEST ZONE★PL.CATALUÑA ★ROOM X 2★BATHROOM +WIFI,Sant Antoni,Eixample,41.38189,2.15857,Private room in rental unit,Private room,False,True,2,,1.0,131.0,3.0,61,55,4.33,False,84,11004.0
144801,Penthouse near Picasso Museum,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.38516,2.17945,Entire rental unit,Entire home/apt,True,True,2,1.0,1.0,59.59,32.0,83,50,4.75,True,0,0.0
147275,1 Room INDIVIDUAL in Barcelona,el Guinardó,Horta-Guinardó,41.42337,2.1749,Private room in rental unit,Private room,False,False,1,,1.0,16.92,31.0,226,136,4.27,True,186,3147.0
171646,Sagrada Familia Clot Atico - Wifi/Private/Clean,el Clot,Sant Martí,41.40671,2.18592,Entire rental unit,Entire home/apt,True,False,3,2.0,2.0,228.24,2.0,94,171,4.81,True,204,46561.0
171816,Sagrada Familia Clot Vista - Wifi/Private/Clean,el Clot,Sant Martí,41.40681,2.18553,Entire rental unit,Entire home/apt,True,False,3,2.0,2.0,177.6,3.0,86,111,4.76,True,138,24509.0
174382,Classic Flat near Sagrada Familia / Shared terrace,la Sagrada Família,Eixample,41.40653,2.17455,Entire rental unit,Entire home/apt,True,True,8,3.0,6.0,354.0,1.0,84,62,4.56,True,114,40356.0
183650,EQUIPPED DOUBLE ROOM WIFI CASANOVA,Sant Antoni,Eixample,41.38271,2.16032,Private room in rental unit,Private room,False,True,1,1.0,1.0,142.0,1.0,343,29,4.63,False,0,0.0
